"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","首页","获取合同列表","0","0","1","0","0"
"","个人中心","还款卡信息","0","0","1","0","0"
"","登录","获取登录验证码","1","0","0","0","0"
"","个人中心","还款计划表","0","0","1","0","0"
"","首页","获取验证码","0","0","0","1","0"
"","个人中心","理赔列表","0","0","1","0","0"
"","个人中心","还款列表","0","0","1","0","0"
"","个人中心","获取消息未读数","0","0","1","0","0"
"","首页","获取征信授权书列表","0","0","1","0","0"
"","个人中心","提交理赔","0","1","0","0","0"
"","首页","上传图片","0","0","1","0","0"
"","个人中心","获取消息列表","0","0","1","0","0"
"","个人中心","设置全部已读","0","0","1","0","0"
"","首页","校验验证码","0","0","0","1","0"
"","首页","获取七牛云上传token","0","0","1","0","0"
"","首页","获取身份证列表","0","0","1","0","0"
"","首页","获取资料库列表","0","0","1","0","0"
"","登录","登录","0","0","1","0","0"
"","登录","退出登录","0","0","0","1","0"
"","个人中心","理赔历史记录","0","0","1","0","0"
"","登录","获取应用信息","0","0","1","0","0"
"","首页","申请面签","0","0","1","0","0"
"","首页","获取视频面签列表","0","0","1","0","0"
"","首页","首页 状态","0","0","1","0","0"
"","个人中心","理赔详情","0","0","1","0","0"
"","个人中心","查看消息详情","0","0","1","0","0"
"","首页","获取合同pdf","0","0","0","1","0"
